no	author	pseudonym	title	subtitle	source	city	year	number_of_periodical_pagination	editions	narration	setting	region	location	protagonist_gender	protagonist_name_male	protagonist_name_female
93	Даль, Владимир Иванович		Памятка	картины из русского быта	Современник		1848	No 3. Словесность. С. 53–57.		3л	деревня	Великороссия	Костромская губерния	муж	без имени	нет
94	Даль, Владимир Иванович		Чудачество	картины из русского быта	Москвитянин		1848	No 8. Изящная словесность. Проза. С. 49–76.		1л	деревня	Малороссия	Воронеж, село	муж	Афоня	нет
95	Даль, Владимир Иванович		Ворожейка	картины из русского быта	Москвитянин		1848	No 10. Изящная словесность. Проза. С. 38–45.		3л	город	Урал	Чердынь	жен	нет	Мария
96	Львов, Владимир Владимирович		Рассказ из народного быта		Москвитянин		1848	No 12. Изящная словесность. Проза. С. 69–98.		3л (суб-авт)	деревня	Великороссия		жен	Панфил; Сергей	Лизавета
97	Тургенев, Иван Сергеевич		Малиновая вода	записки охотника	Современник		1848	No 2. Словесность. С. 148–157.	Записки охотника. М., 1852	1л	деревня	Великороссия	Орловская губерния	муж	Влас	нет
98	Тургенев, Иван Сергеевич		Бирюк	записки охотника	Современник		1848	No 2. Словесность. С. 166–173.	Записки охотника. М., 1852	1л	имение	Великороссия		муж	Фома	нет
99	Тургенев, Иван Сергеевич		Смерть	записки охотника	Современник		1848	No 2. Словесность. С. 197–208.	Записки охотника. М., 1852	1л	деревня	Великороссия	Орловская губерния	муж	Максим	нет
100	автор не установлен	М.К.; М. К-н	Корыстолюбие русского народа		Москвитянин		1849	No 4. Смесь. Отд. VI. С. 77.		3л (суб-авт)	деревня	Великороссия	Московская губерния	муж	Сидор	нет
101	Григорович, Дмитрий Васильевич		Четыре времени года		Современник		1849	No 12. Отд. I. С. 225–286.		3л	деревня	Великороссия		муж	Петр	Параша
102	Кокорев, Иван Тимофеевич		Ярославцы в Москве		Москвитянин		1849	No 2. Смесь. С. 46–54.		3л (суб-авт)	город	Великороссия	Москва	муж	без имени	нет
103	Кокорев, Иван Тимофеевич		Отцовский долг		Москвитянин		1849	No 4. Смесь. С. 78–81		3л (суб-авт)	деревня	Великороссия	Московская губерния	муж	Иван	нет
104	Кокорев, Иван Тимофеевич		Русское сердце. Дядя Тимофей		Москвитянин		1849	No 8. Смесь. Отд. VI. С. 35–45.		3л (суб-авт)	деревня	Великороссия	Горохово, Орловская губерния	муж	Тимофей	нет
105	Кокорев, Иван Тимофеевич		Русское сердце. Чужое добро		Москвитянин		1849	No 8. Смесь. Отд. VI. С. 35–45.		3л (суб-авт)	город	Великороссия	Петербург	муж	Гаврила и Степан	нет
